name,market,neighborhood,cuisine,price,address,zip,url
Burrito Bar & Kitchen,New York City,,,$$,307 Flatbush Ave,11217,https://jsheldon-afk.github.io/cold-call-hub-3/?r=burrito-bar-and-kitchen
Lagos,New York City,Midtown,Mexican,$$,306 E 49th St,10017,https://jsheldon-afk.github.io/cold-call-hub-3/?r=lagos
63 Clinton,New York City,Lower East Side,American,$$$$,63 Clinton St,10002,https://jsheldon-afk.github.io/cold-call-hub-3/?r=63-clinton
L' Accolade,New York City,West Village,American; French,$$$,302 BLEECKER ST,10014,https://jsheldon-afk.github.io/cold-call-hub-3/?r=l-accolade
Tap Haus 33,New York City,Midtown,,$$,14 E 33RD ST,10016,https://jsheldon-afk.github.io/cold-call-hub-3/?r=tap-haus-33
Donovans Pub,New York City,Queens,,$$,5724 ROOSEVELT AVE,11377,https://jsheldon-afk.github.io/cold-call-hub-3/?r=donovans-pub
Palermo Restaurant And Bar,New York City,Ditmars Steinway,,$$,2392 21ST ST,11105,https://jsheldon-afk.github.io/cold-call-hub-3/?r=palermo-restaurant-and-bar
Cafe Skye,New York City,Lower East Side,,?,"43 Clinton Street New York, NY 10002",10002,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cafe-skye
Pye Boat Noodle,New York City,Astoria,,$$,35-13 Broadway,11106,https://jsheldon-afk.github.io/cold-call-hub-3/?r=pye-boat-noodle
Pearl Street Supper Club,New York City,Downtown Brooklyn/DUMBO,,$$$,147 Front St,11201,https://jsheldon-afk.github.io/cold-call-hub-3/?r=pearl-street-supper-club
Pubkey,New York City,Greenwich Village,,?,"85 Washington Pl, New York, NY 10011, United States",10011,https://jsheldon-afk.github.io/cold-call-hub-3/?r=pubkey
Revelie Luncheonette,New York City,SoHo,,$$,179 Prince St,10012,https://jsheldon-afk.github.io/cold-call-hub-3/?r=revelie-luncheonette
Lima Twist,Washington DC,Penn Quarter,,$$,1411 K St NW,20005,https://jsheldon-afk.github.io/cold-call-hub-3/?r=lima-twist
Pantry,Washington DC,Northwest Washington,,$$,3716 Georgia Ave NW,20010,https://jsheldon-afk.github.io/cold-call-hub-3/?r=pantry
Nooshi,Washington DC,Downtown,,$$,1120 19th St NW,20036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=nooshi
Bammy's Modern Caribbean,Washington DC,Arlington,,$$,301 Water St SE,20374,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bammy-s-modern-caribbean
Empire Lounge DC,Washington DC,Shaw,,?,1909 9th St NW,20001,https://jsheldon-afk.github.io/cold-call-hub-3/?r=empire-lounge-dc
Pharaoh Karaoke Lounge,Los Angeles,,,$$,3680 Wilshire Blvd,90010,https://jsheldon-afk.github.io/cold-call-hub-3/?r=pharaoh-karaoke-lounge
Sol y Luna,Los Angeles,Calabasas,,$$,19601 Ventura Blvd,91356,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sol-y-luna
Loupiotte Kitchen,Los Angeles,Los Feliz,,$$,1726 N Vermont Ave,90027,https://jsheldon-afk.github.io/cold-call-hub-3/?r=loupiotte-kitchen
Mistral,Los Angeles,Sherman Oaks,,$$$,13422 Ventura Blvd,91423,https://jsheldon-afk.github.io/cold-call-hub-3/?r=mistral
Kruang Tedd,Los Angeles,Los Feliz,,$$,5151 Hollywood Blvd,90027,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kruang-tedd
Oste,Los Angeles,Beverly Grove,,$$,8142 W 3rd St,90048,https://jsheldon-afk.github.io/cold-call-hub-3/?r=oste
